Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
electricity (BTU),2.06696E+14,2.05677E+14,2.16682E+14,2.15712E+14,2.11987E+14,2.15849E+14,2.19254E+14,2.23325E+14,2.27424E+14,2.31005E+14,2.3523E+14,2.39032E+14,2.4239E+14,2.45732E+14,2.46848E+14,2.48857E+14,2.4989E+14,2.51173E+14,2.52302E+14,2.55148E+14,2.56484E+14,2.5759E+14,2.58469E+14,2.59406E+14,2.59076E+14,2.60752E+14,2.62111E+14,2.62887E+14,2.63584E+14,2.64643E+14,2.6547E+14,2.66499E+14,2.67219E+14,
coal (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
natural gas (BTU),2.48036E+14,2.51262E+14,2.3804E+14,2.40316E+14,2.3267E+14,2.31285E+14,2.2985E+14,2.2776E+14,2.25681E+14,2.23494E+14,2.20623E+14,2.17785E+14,2.15073E+14,2.13445E+14,2.134E+14,2.13167E+14,2.13553E+14,2.13861E+14,2.14291E+14,2.14149E+14,2.14579E+14,2.15178E+14,2.15906E+14,2.1679E+14,2.18229E+14,2.18991E+14,2.19932E+14,2.21209E+14,2.22637E+14,2.23833E+14,2.25316E+14,2.26775E+14,2.28451E+14,
petroleum diesel (BTU),3.34897E+13,3.21458E+13,2.90205E+13,2.7857E+13,2.56066E+13,2.42041E+13,2.29052E+13,2.16651E+13,2.04249E+13,1.92794E+13,1.8188E+13,1.71733E+13,1.62262E+13,1.53423E+13,1.45531E+13,1.37774E+13,1.30694E+13,1.24064E+13,1.18021E+13,1.12204E+13,1.07017E+13,1.02237E+13,9.78625E+12,9.3939E+12,9.05567E+12,8.73998E+12,8.45586E+12,8.19881E+12,7.9643E+12,7.74783E+12,7.55842E+12,7.38253E+12,7.23371E+12,
heat (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
biomass (BTU),9.59772E+13,9.53901E+13,8.98008E+13,9.02299E+13,8.60012E+13,8.56512E+13,8.60351E+13,8.61085E+13,8.57754E+13,8.55778E+13,8.47309E+13,8.43244E+13,8.40535E+13,8.26872E+13,8.29525E+13,8.19928E+13,8.1671E+13,8.09314E+13,7.99942E+13,7.73181E+13,7.54494E+13,7.35072E+13,7.15312E+13,6.95157E+13,6.82003E+13,6.58178E+13,6.35313E+13,6.14875E+13,5.94663E+13,5.73887E+13,5.54522E+13,5.35158E+13,5.17261E+13,
kerosene (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
heavy or residual fuel oil (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LPG propane or butane (BTU),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
hydrogen (BTU),0,0,0,0,0,0,0,0,0,0,1.00405E+11,2.0081E+11,4.0162E+11,5.02025E+11,6.05669E+11,6.05669E+11,6.08907E+11,6.12146E+11,6.15385E+11,6.18624E+11,6.21863E+11,6.28341E+11,6.3158E+11,6.34818E+11,6.41296E+11,6.47774E+11,6.51013E+11,6.57491E+11,6.63968E+11,6.67207E+11,6.73685E+11,6.80163E+11,6.8664E+11,
