Unit: BTU,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
agriculture and forestry 01T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
coal mining 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
other mining and quarrying 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
food beverage and tobacco 10T12,947817120.3,951411936.2,899778672.1,940800099.7,958395935.6,966982967.7,970337628.9,968752607.8,969387516.8,972372940.1,973347067.7,977759910.6,980110424.9,986578091.6,995009023.2,994279553.2,993526067.8,992227731.3,991526779.8,991582315.5,993463027.2,997532148.7,996751645.8,997604195.1,997974933.9,1002868086,1009359768,1013113687,1017194816,1021967891,1027308332,1033723464,1040491325,
textiles apparel and leather 13T15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
wood products 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
pulp paper and printing 17T18,7.01385E+12,7.04045E+12,6.65836E+12,6.96192E+12,7.09213E+12,7.15567E+12,7.1805E+12,7.16877E+12,7.17347E+12,7.19556E+12,7.20277E+12,7.23542E+12,7.25282E+12,7.30068E+12,7.36307E+12,7.35767E+12,7.35209E+12,7.34249E+12,7.3373E+12,7.33771E+12,7.35163E+12,7.38174E+12,7.37596E+12,7.38227E+12,7.38501E+12,7.42122E+12,7.46926E+12,7.49704E+12,7.52724E+12,7.56256E+12,7.60208E+12,7.64955E+12,7.69964E+12,
refined petroleum and coke 19,7.16265E+12,7.18982E+12,6.79963E+12,7.10963E+12,7.2426E+12,7.30749E+12,7.33284E+12,7.32086E+12,7.32566E+12,7.34822E+12,7.35558E+12,7.38893E+12,7.40669E+12,7.45557E+12,7.51928E+12,7.51377E+12,7.50808E+12,7.49826E+12,7.49297E+12,7.49339E+12,7.5076E+12,7.53835E+12,7.53245E+12,7.53889E+12,7.5417E+12,7.57867E+12,7.62773E+12,7.6561E+12,7.68694E+12,7.72301E+12,7.76337E+12,7.81185E+12,7.86299E+12,
chemicals 20,2.60365E+13,2.61353E+13,2.47169E+13,2.58438E+13,2.63271E+13,2.6563E+13,2.66552E+13,2.66116E+13,2.66291E+13,2.67111E+13,2.67378E+13,2.68591E+13,2.69236E+13,2.71013E+13,2.73329E+13,2.73129E+13,2.72922E+13,2.72565E+13,2.72372E+13,2.72388E+13,2.72904E+13,2.74022E+13,2.73808E+13,2.74042E+13,2.74144E+13,2.75488E+13,2.77271E+13,2.78302E+13,2.79423E+13,2.80735E+13,2.82202E+13,2.83964E+13,2.85823E+13,
rubber and plastic products 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
