Unit: BTU,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,
agriculture and forestry 01T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
appliances and electrical equipment 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
cement and other nonmetallic minerals 239,0,0,0,0,0,0,0,0,0,1.39803E+11,2.74109E+11,8.93033E+11,1.84862E+12,2.74251E+12,4.52772E+12,5.04201E+12,5.59023E+12,6.03143E+12,6.47416E+12,6.884E+12,7.32473E+12,7.77125E+12,8.17037E+12,8.60808E+12,9.05165E+12,9.52016E+12,1.00069E+13,1.04748E+13,1.09507E+13,1.14354E+13,1.1471E+13,1.15112E+13,1.1561E+13,
chemicals 20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
computers and electronics 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
construction 41T43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
energy pipelines and gas processing 352T353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
food beverage and tobacco 10T12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
iron and steel 241,0,0,0,0,0,0,3.1278E+11,1.18477E+12,2.01885E+12,2.37665E+12,3.74615E+12,1.00785E+13,1.75619E+13,2.22448E+13,3.16941E+13,3.07104E+13,2.98145E+13,2.83013E+13,2.68215E+13,2.52413E+13,2.38054E+13,2.23995E+13,2.08798E+13,1.94814E+13,1.81033E+13,1.67736E+13,1.54652E+13,1.41182E+13,1.27758E+13,1.14354E+13,1.05533E+13,9.66944E+12,1.1561E+13,
metal products except machinery and vehicles 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,1.39803E+11,2.74109E+11,8.93033E+11,1.84862E+12,2.74251E+12,4.52772E+12,5.04201E+12,5.59023E+12,6.03143E+12,6.47416E+12,6.884E+12,7.32473E+12,7.77125E+12,8.17037E+12,8.60808E+12,9.05165E+12,9.52016E+12,1.00069E+13,1.04748E+13,1.09507E+13,1.14354E+13,1.19298E+13,1.24321E+13,1.1561E+13,
other machinery 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
other manufacturing 31T33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
other metals 242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
other mining and quarrying 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
pulp paper and printing 17T18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
road vehicles 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
rubber and plastic products 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
textiles apparel and leather 13T15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
water and waste 36T39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
wood products 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
nonroad vehicles 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
glass and glass products 231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
coal mining 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
refined petroleum and coke 19,0,0,0,0,0,0,0,0,0,1.39803E+11,2.74109E+11,8.93033E+11,1.84862E+12,2.74251E+12,4.52772E+12,5.04201E+12,5.59023E+12,6.03143E+12,6.47416E+12,6.884E+12,7.32473E+12,7.77125E+12,8.17037E+12,8.60808E+12,9.05165E+12,9.52016E+12,1.00069E+13,1.04748E+13,1.09507E+13,1.14354E+13,1.19298E+13,1.24321E+13,1.1561E+13,
