MW,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natural gas nonpeaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04645E-05,0.00021492,0.000409136,0.000816031,0.001516492,0.002744559,0.004876926,0.011419004,0.019723613,0.029594077,0.040785063,0.052978507,0.066097525,0.079833037,0.093925837,0.108379504,0.12312211
nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onshore wind,0.396108507,0.487680824,0.579253141,0.577724012,0.601564619,0.621757434,0.652357336,0.682082332,0.709419555,0.734199342,0.755299457,0.77322474,0.789334957,0.751196858,0.715097856,0.679021855,0.643926625,0.612178193,0.583141495,0.554667648,0.529440696,0.506265626,0.485187333,0.622483195,0.750096504,0.869155278,0.981497293,1.08523375,1.182083411,1.271313773,1.353367318,1.42851508,1.498851072
solar PV,509.8367648,627.7007667,745.5647685,863.5218718,981.4536054,1099.388987,1217.313961,1335.23981,1453.168047,1571.098841,1689.033316,1806.970964,1924.910428,1912.768304,1900.624141,1888.479955,1876.334697,1864.186059,1852.03464,1839.882444,1827.726709,1815.568393,1803.407077,2378.62092,2953.842682,3529.071433,4104.30558,4679.547331,5254.795043,5830.049757,6405.311291,6980.57937,7555.851972
solar thermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natural gas peaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lignite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offshore wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crude oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavy or residual fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
municipal solid waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
