MW,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
hard coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natural gas nonpeaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.14096E-05,0.000145893,0.000277732,0.000553942,0.001029432,0.001863075,0.003310578,0.007751503,0.013388877,0.020089192,0.027685911,0.035963122,0.044868636,0.054192642,0.063759184,0.07357069,0.083578336
nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onshore wind,0.268888261,0.331049817,0.393211372,0.392173361,0.408356956,0.422064338,0.44283631,0.463014373,0.481571556,0.49839269,0.51271597,0.524884096,0.53582011,0.509931024,0.485426128,0.460936845,0.437113334,0.415561712,0.395850883,0.376522131,0.359397452,0.34366564,0.329357173,0.422557003,0.509184076,0.590004119,0.666264661,0.736683536,0.802427483,0.862999262,0.91869924,0.969711401,1.017457214
solar PV,346.0898176,426.09882,506.1078223,586.1800242,666.2350045,746.292461,826.3428529,906.3938387,986.4464454,1066.500788,1146.557629,1226.616624,1306.676852,1298.434478,1290.190719,1281.946945,1273.702444,1265.455647,1257.206963,1248.957752,1240.706137,1232.452772,1224.19737,1614.666766,2005.141539,2395.621055,2786.104235,3176.592576,3567.084964,3957.582105,4348.083876,4738.590089,5129.099373
solar thermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
natural gas peaker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lignite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offshore wind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crude oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heavy or residual fuel oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
municipal solid waste,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
