Unit: dimensionless (fraction of potential achieved),2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
agriculture and forestry 01T03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coal mining 05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oil and gas extraction 06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other mining and quarrying 07T08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food beverage and tobacco 10T12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
textiles apparel and leather 13T15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wood products 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pulp paper and printing 17T18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
refined petroleum and coke 19,0,0,0.12522,0.169971059,0.223190552,0.279297145,0.337962067,0.400011405,0.466579156,0.485992238,0.784807057,1.101548374,1.436775857,1.7856806,2.16023319,2.578231237,3.024568831,3.452110163,3.530097233,3.653830651,3.783256959,3.945189553,3.916304412,3.893045538,4.097869125,4.276605772,4.428083059,4.585529844,4.69066775,4.837212945,4.941778634,5.129198605,5.286555811
chemicals 20,0,0,0.08309,0.148582325,0.132314518,0.155660127,0.188972152,0.22621025,0.265325464,0.475152087,0.511679967,0.542239928,0.576105808,0.617499386,0.658464851,0.696505204,0.715534059,0.732398944,0.745709196,0.758192192,0.771359999,0.749065794,0.684748663,0.709211186,0.749107909,0.768526309,0.773195157,0.780929237,0.766257516,0.772863554,0.76116733,0.770247537,0.761732952
rubber and plastic products 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glass and glass products 231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cement and other nonmetallic minerals 239,0,0,0,0.013585353,0.035137483,0.053389847,0.074057247,0.097177363,0.122044441,0.186524538,0.419125643,0.677395338,0.954997734,1.198425641,1.439191244,1.687288979,1.933202424,2.155227504,2.154081615,2.157453161,2.170317284,2.204118689,2.144517583,2.123227716,2.14096345,2.163792063,2.166700485,2.17332854,2.153745237,2.16457978,2.153548969,2.170247094,2.164252778
iron and steel 241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other metals 242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
metal products except machinery and vehicles 25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computers and electronics 26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appliances and electrical equipment 27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other machinery 28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
road vehicles 29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nonroad vehicles 30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
other manufacturing 31T33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
energy pipelines and gas processing 352T353,0,0,0.693051968,0.695631166,0.741333242,0.794141577,0.8684676,0.926892073,1.012073417,1.099038577,1.190753848,1.275525822,1.369147238,1.478844902,1.604477813,1.724423075,1.836236726,1.929621126,2.101846407,2.205536791,2.303989994,2.434088761,2.375541475,2.532976224,2.658659274,2.782841053,2.876145589,3.000627165,3.07138292,3.201596758,3.279451251,3.41397281,3.463316201
water and waste 36T39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
construction 41T43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
