,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
LDVs,1,1.010799387,1.02152399,1.032154421,1.04267406,1.053213088,1.063749346,1.074274524,1.084766466,1.095208551,1.105584161,1.115882218,1.126088871,1.136195813,1.146203042,1.156107789,1.165910054,1.175623686,1.185251455,1.194809979,1.204313107,1.21376638,1.223191954,1.232592601,1.241984938,1.251377275,1.260772382,1.270181338,1.279604142,1.289046336,1.298510687,1.308002737,1.317516944,1.327067159,1.336650611
HDVs,1,1.010799387,1.02152399,1.032154421,1.04267406,1.053213088,1.063749346,1.074274524,1.084766466,1.095208551,1.105584161,1.115882218,1.126088871,1.136195813,1.146203042,1.156107789,1.165910054,1.175623686,1.185251455,1.194809979,1.204313107,1.21376638,1.223191954,1.232592601,1.241984938,1.251377275,1.260772382,1.270181338,1.279604142,1.289046336,1.298510687,1.308002737,1.317516944,1.327067159,1.336650611
aircraft,1,1.010799387,1.02152399,1.032154421,1.04267406,1.053213088,1.063749346,1.074274524,1.084766466,1.095208551,1.105584161,1.115882218,1.126088871,1.136195813,1.146203042,1.156107789,1.165910054,1.175623686,1.185251455,1.194809979,1.204313107,1.21376638,1.223191954,1.232592601,1.241984938,1.251377275,1.260772382,1.270181338,1.279604142,1.289046336,1.298510687,1.308002737,1.317516944,1.327067159,1.336650611
rail,1,1.010799387,1.02152399,1.032154421,1.04267406,1.053213088,1.063749346,1.074274524,1.084766466,1.095208551,1.105584161,1.115882218,1.126088871,1.136195813,1.146203042,1.156107789,1.165910054,1.175623686,1.185251455,1.194809979,1.204313107,1.21376638,1.223191954,1.232592601,1.241984938,1.251377275,1.260772382,1.270181338,1.279604142,1.289046336,1.298510687,1.308002737,1.317516944,1.327067159,1.336650611
ships,1,1.010799387,1.02152399,1.032154421,1.04267406,1.053213088,1.063749346,1.074274524,1.084766466,1.095208551,1.105584161,1.115882218,1.126088871,1.136195813,1.146203042,1.156107789,1.165910054,1.175623686,1.185251455,1.194809979,1.204313107,1.21376638,1.223191954,1.232592601,1.241984938,1.251377275,1.260772382,1.270181338,1.279604142,1.289046336,1.298510687,1.308002737,1.317516944,1.327067159,1.336650611
motorbikes,1,1.010799387,1.02152399,1.032154421,1.04267406,1.053213088,1.063749346,1.074274524,1.084766466,1.095208551,1.105584161,1.115882218,1.126088871,1.136195813,1.146203042,1.156107789,1.165910054,1.175623686,1.185251455,1.194809979,1.204313107,1.21376638,1.223191954,1.232592601,1.241984938,1.251377275,1.260772382,1.270181338,1.279604142,1.289046336,1.298510687,1.308002737,1.317516944,1.327067159,1.336650611
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
